NOM / Fournisseur,DATE,Commentaire,CHARGES € HT,n°,Signataire,Type doc,Réf Gestion,N° Facture,Valideur,
AMAZON,27/02/2024,lingette + stylo,"59,14 €",,LDE,facture,,,,
AMAZON,01/03/2024,Touilette,"6,99 €",,LDE,facture,,,,
AMAZON,27/02/2024,papier ,"19,34 €",,ARU,facture,S1A,,,
LEGALLAIS,01/03/2024,distributeur savon,"116,79 €",,LDE,facture,S1D,,,
RS,07/03/2024,rideau froid,"232,39 €",,ARU,virement,,,,S1A
MAX PRO NETTOYAGE,19/03/2024,nettoyage chantier 08/03,"750,00 €",,MLP,facture,S1A,,,
ORANGE,,box elysée 16/02 16/03,"54,00 €",,LDE,facture,F14,,,
AMAZON,12/03/2024,porte chaussure,"29,98 €",,ARU,facture,S1D,,,
AMAZON,12/03/2024,thé,"11,45 €",,ARU,facture,S1A,,,
LEP,12/03/2024,Démontage sapine esc. Apparat,"564,00 €",,LDE,facture,S1G,,,
M ANCEL,12/03/2024,frais avocat  07/03/24,"600,00 €",,LDE,facture,F17,,,
Paul GRASSI ,24/04/2024,calepinage terrasse,"575,00 €",,LDE,facture,E3,,,
AMAZON,19/03/2024,hyfromètre thermometre,"99,80 €",,LDE,virement,S1D,,,
BT sécurité,18/03/2024,poignée élec,"143,33 €",,MDL,Facture,,,,
Studio Jessel,18/03/2024,Film fev 24,"1 625,00 €",,LDE,facture,F14,,,
Devisubox,27/03/2024,location nov dec,"582,00 €",,ARU,facture,S1A,,,
Devisubox,27/03/2024,location nov dec,"2 290,00 €",,ARU,facture,S1A,,,
LEP,19/03/2024,location Fevrier,"1 812,50 €",,LDE,facture,S1G,,,
MGA,27/03/2024,Travaux Janvier 24,"3 420,00 €",,ARU,facture,S1A,,,
MGA,27/03/2024,Travaux Février 24,"8 500,00 €",,ARU,facture,S1D,,,
AMAZON,,"rideaux,","36,03 €",,ARU,virement,,,,
AMAZON,27/03/2024,gobelet cartons,"19,16 €",,ARU,virement,S1D,,,
AMAZON,27/03/2024,sucre,"10,41 €",,ARU,virement,S1D,,,
AMAZON,27/03/2024,tringle à rideaux,"38,32 €",,ARU,virement,S1D,,,
AMAZON,27/03/2024,Paters murales,"11,57 €",,ARU,virement,S1D,,,
AMAZON,28/05/2024,crayon bois,"9,07 €",,LDE,facture,S1D,,,
BRUNEAU,27/03/2024,papier A3,"26,10 €",,ARU,virement,S1D,,,
KILOUTOU,27/03/2024,location chauffage 15/02 - 15/03 ,"916,86 €",,LDE,facture,S1A,,,
SOIB,27/03/2024,Plaque polycarbontate,"218,36 €",,LDE,facture,S1A,,,
ORANGE,27/03/2024,box elysée 15/01 16/02,"48,00 €",,LDE,facture,F14,,,
SOIB,29/04/2024,papier plastifieuse,"61,00 €",,,facture,S1D,,,
Studio Jessel,22/04/2024,Film mars 24,"1 625,00 €",,LDE,facture,F14,,,
BRUNEAU,24/04/2024,essui main + pochette,"61,86 €",,ARU,virement,S1D,,,
AMAZON,24/04/2024,caméra,"55,75 €",,ARU,virement,S1A,,,
AMAZON,24/04/2024,carte mémoire,"16,66 €",,ARU,virement,S1A,,,
KILOUTOU,24/04/2024,location chauffage 16/03 au 15/04,"916,86 €",,LDE,facture,S1A,,,
AMAZON,24/04/2024,scotch blanc esc.,"64,84 €",,ARU,virement,S1A,,,
AMAZON,24/04/2024,café,"52,64 €",,ARU,virement,S1D,,,
AMAZON,24/04/2024,chaine acier ,"27,33 €",,ARU,virement,S1A,,,
SOIB,27/05/2024,film protection sol,"190,00 €",,ARU,devis,S1A,,,
BTP Consultant,11/06/2024,Contrôle installation élec de chantier,"600,00 €",,LDE,facture,S1D,,,
SOIB,11/06/2024,frigo + micro onde,"369,00 €",,LDE,facture,S1D,,,
DHL,13/05/2024,livraison échantillon bois,"120,49 €",,LDE,facture,S1A,,,
Studio Jessel,13/05/2024,Film avril 24,"1 625,00 €",,LDE,facture,F14,,,
AMAZON,28/05/2024,balais,"22,87 €",,LDE,facture,S1D,,,
AMAZON,28/05/2024,eau,"50,60 €",,LDE,facture,S1D,,,
AMAZON,28/05/2024,feutre,"10,66 €",,LDE,facture,S1D,,,
AMAZON,28/05/2024,cable usb,"5,68 €",,LDE,facture,S1D,,,
Paul GRASSI ,27/05/2024,MAJ carnet carneau et piscine,"1 050,00 €",,LDE,facture,E3,,,
SOIB,25/06/2024,deshu + outillages,"1 089,17 €",,ARU,facture,S1A,,,
BRUNEAU,28/05/2024,EAU,"47,60 €",,ARU,facture,S1D,,,
KILOUTOU,31/05/2024,location chauffage 16/04 au 15/05,"916,86 €",,LDE,facture,S1A,,,Fin location KILOUTOU le 02/05
SOIB,30/05/2024,chauffage ralonge,"813,58 €",,LDE,devis,S1A,,,
SOIB,25/06/2024,baches de protection de sols,"380,00 €",,LDE,facture,S1A,,,
KILOUTOU,31/05/2024,Avoir location 02 au 16/05,"-916,86 €",,LDE,facture,S1A,,,
ENDLESS (bigbag),31/05/2024,Big bag Avril 24,"1 124,70 €",,LDE,facture,S1A,,,
SOIB,25/06/2024,cornière en carton,"19,50 €",,LE,facture,S1A,,,
AMAZON,24/06/2024,café,"52,64 €",,LDE,facture,S1D,,,
AMAZON,24/06/2024,bombe air,"7,99 €",,LDE,facture,S1A,,,
AMAZON,24/06/2024,cable iphone,"12,58 €",,LDE,facture,S1D,,,
Studio Jessel,05/06/2024,Film mai 24,"1 625,00 €",,LDE,facture,F14,,,
SOIB,25/06/2024,chauffage,"680,00 €",,LDE,facture,S1A,,,
SOIB,25/06/2024,spot + rallonge + enrouleur,"813,58 €",,LDE,facture,,,,
KILOUTOU,11/06/2024,location chauffage 16/04 au 02/05,"466,19 €",,LDE,facture,S1A,,,
KILOUTOU,11/06/2024,retratt chauffage 02/05,"75,00 €",,LDE,facture,S1A,,,
BRUNEAU,24/06/2024,eau+cutter+gants+feutre,"106,06 €",,LDE,facture,S1D,,,
BRUNEAU,24/06/2024,echelle + feutre,"177,00 €",,LDE,facture,S1A,,,
BRUNEAU,04/07/2024,gobelet cartons,"44,84 €",,ARU,facture,S1D,,,
MGA,09/07/2024,travaux provisoire phase 2,"5 525,00 €",,LDE,facture,S1A,,,
ENDLESS (bigbag),09/07/2024,Big Bag  14 mai 24,"157,80 €",,LDE,facture,S1A,,,
ENDLESS (bigbag),25/06/2024,Big Bag 16 mai 24,"631,20 €",,LDE,facture,S1A,,,
ENDLESS (bigbag),25/06/2024,Big Bag mai 24 (16 au 31 mai),"1 676,10 €",,LDE,facture,S1A,,,
MGA,09/07/2024,Travaux chantier Mars 24,"2 315,00 €",,LDE,facture,S1A,,,
MGA,09/07/2024,Travaux chantier Mai juin 24,"5 360,00 €",,LDE,facture,S1A,,,
MGA,09/07/2024,Travaux chantier Avril 2024,"2 120,00 €",,LDE,facture,S1A,,,
BRUNEAU,04/07/2024,"achat divers : diffuseur odeur, boite clef…","204,19 €",,LDE,facture,S1D,,,
Studio Jessel,09/07/2024,Film juin 24,"1 625,00 €",,LDE,facture,F14,,,
MGA,09/07/2024,Chappe RDC et SS1,"5 390,00 €",,LDE,facture,S1A,,,
AMAZON,15/08/2024,Ruban cassette,"19,24 €",,LDE,facture,S1D,,,
BRUNEAU,26/07/2024,"achat divers : eau, café, lingette","145,97 €",,LDE,facture,S1D,,,
